date, pm25
2021/6/11, 38
2021/6/12, 46
2021/6/13, 32
2021/6/14, 20
2021/6/15, 31
2021/6/16, 26
2021/6/17, 41
2021/6/18, 42
2021/6/19, 40
2021/6/20, 49
2021/6/21, 15
2021/6/22, 14
2021/6/23, 30
2021/6/24, 31
2021/6/25, 30
2021/6/26, 21
2021/6/27, 20
2021/6/28, 30
2021/6/29, 25
2021/6/30, 26
2021/1/4, 49
2021/1/5, 54
2021/1/6, 67
2021/1/7, 39
2021/1/8, 21
2021/1/9, 17
2021/1/10, 20
2021/1/11, 27
2021/1/12, 49
2021/1/13, 50
2021/1/14, 47
2021/1/15, 32
2021/1/16, 40
2021/1/17, 33
2021/1/18, 36
2021/1/19, 45
2021/1/20, 27
2021/1/21, 14
2021/1/22, 16
2021/1/23, 38
2021/1/24, 46
2021/1/25, 55
2021/1/26, 24
2021/1/27, 18
2021/1/28, 28
2021/1/29, 55
2021/1/30, 43
2021/1/31, 41
2021/2/1, 24
2021/2/2, 26
2021/2/3, 47
2021/2/4, 39
2021/2/5, 27
2021/2/6, 21
2021/2/7, 26
2021/2/8, 58
2021/2/9, 42
2021/2/10, 49
2021/2/11, 35
2021/2/12, 39
2021/2/13, 38
2021/2/14, 30
2021/2/15, 19
2021/2/16, 18
2021/2/17, 60
2021/2/18, 65
2021/2/19, 78
2021/2/20, 85
2021/2/21, 72
2021/2/22, 66
2021/3/22, 37
2021/3/23, 51
2021/3/24, 19
2021/3/25, 24
2021/3/26, 33
2021/3/27, 44
2021/3/28, 15
2021/3/29, 28
2021/3/30, 27
2021/3/31, 22
2020/10/1, 23
2020/10/2, 14
2020/10/3, 24
2020/10/4, 23
2020/10/5, 18
2020/10/6, 23
2020/10/7, 34
2020/10/8, 36
2020/10/9, 49
2020/10/10, 45
2020/10/11, 41
2020/10/12, 40
2020/10/13, 23
2020/10/14, 21
2020/10/15, 9
2020/10/16, 12
2020/10/17, 16
2020/10/18, 15
2020/10/19, 24
2020/10/20, 26
2020/10/21, 33
2020/10/22, 37
2020/10/23, 33
2020/10/24, 9
2020/10/25, 15
2020/10/26, 15
2020/10/27, 16
2020/10/28, 18
